index,title,actor_name
0,Miss Jerry,Blanche Bayliss
1,Miss Jerry,William Courtenay
2,Rivista delle nazioni,William Courtenay
3,Miss Jerry,Chauncey Depew
4,Miss Jerry,Alexander Black
5,The Story of the Kelly Gang,Elizabeth Tait
6,The Story of the Kelly Gang,John Tait
7,The Story of the Kelly Gang,Norman Campbell
8,The Story of the Kelly Gang,Bella Cola
9,The Story of the Kelly Gang,Charles Tait
10,The Story of the Kelly Gang,W.A. Gibson
11,The Story of the Kelly Gang,Millard Johnson
12,The Story of the Kelly Gang,Nevin Tait
13,The Story of the Kelly Gang,Eric Chapus
14,The Story of the Kelly Gang,Orrie Perry
